2018-02-10 2:03:45,Exercise is an important part of overall health!,,,,,,,,
2018-02-10 2:05:55,User Pressed Green Button!,,,,,,,,
2018-02-10 2:06:40,Great!,,,,,,,,
2018-02-10 2:06:41,Great!,,,,,,,,
2018-02-10 2:06:42,Great!,,,,,,,,
2018-02-10 2:07:03,Sounds Good!,,,,,,,,
2018-02-10 2:07:06,Sounds Good!,,,,,,,,
2018-02-10 2:07:07,OK,,,,,,,,
2018-02-10 2:07:08,Sounds Good!,,,,,,,,
2018-02-10 2:07:29,Would you like a healthy snack option?,,,,,,,,
2018-02-10 2:07:50,It's time for some exercise!,,,,,,,,
2018-02-10 2:07:52,It's time for some exercise!,,,,,,,,
2018-02-10 2:07:53,Get ready to do some exercise,,,,,,,,
2018-02-10 2:07:53,Exercise is an important part of overall health!,,,,,,,,
2018-02-10 2:07:55,Let's get up and moving!,,,,,,,,
2018-02-10 2:07:56,It's time for some exercise!,,,,,,,,
2018-02-10 2:07:57,Let's get up and moving!,,,,,,,,
2018-02-10 2:07:59,The eye muscles are the most active in the body,moving more than 100,000 times a day!,,,,,,
2018-02-10 2:08:07,To maintain a healthy body,you should work out 150 minutes a week,,,,,,,
2018-02-10 2:08:42,Goodbye,Have a nice day!,,,,,,,
2018-02-10 2:08:48,Nice talking with you.,,,,,,,,
2018-02-10 2:08:50,Nice talking with you.,,,,,,,,
2018-02-10 2:08:51,Goodbye,Have a nice day!,,,,,,,
2018-02-10 2:08:52,Nice talking with you.,,,,,,,,
2018-02-10 2:08:53,Nice talking with you.,,,,,,,,
2018-02-10 2:08:54,Nice talking with you.,,,,,,,,
2018-02-10 2:08:54,Nice talking with you.,,,,,,,,
2018-02-10 2:08:55,Nice talking with you.,,,,,,,,
2018-02-10 2:08:56,Goodbye,Have a nice day!,,,,,,,
2018-02-10 2:08:56,Goodbye,Have a nice day!,,,,,,,
2018-02-10 2:08:58,Nice talking with you.,,,,,,,,
2018-02-10 2:33:29,Hello!,,,,,,,,
2018-02-10 2:33:32,Hello!,,,,,,,,
2018-02-10 2:35:29,Greetings,,,,,,,,
2018-02-10 2:38:06,You can use my buttons to reply.,,,,,,,,
2018-02-10 2:38:10,You can use my buttons to reply.,,,,,,,,
2018-02-10 2:38:24,Greetings,,,,,,,,
2018-02-10 2:38:25,You can use my buttons to reply.,,,,,,,,
2018-02-10 2:38:26,Great!,,,,,,,,
2018-02-10 2:38:27,Good Job!,,,,,,,,
2018-02-10 2:38:29,Sounds Good!,,,,,,,,
2018-02-10 2:38:30,Nice talking with you.,,,,,,,,
2018-02-10 2:39:25,OK,,,,,,,,
2018-02-10 2:39:26,Goodbye,Have a nice day!,,,,,,,
2018-02-10 2:39:28,You can use my buttons to reply.,,,,,,,,
2018-02-10 2:39:32,You can use my buttons to reply.,,,,,,,,
2018-02-10 2:39:35,Great!,,,,,,,,
2018-02-10 2:39:37,Good Job!,,,,,,,,
2018-02-10 2:39:40,Nice Job!,,,,,,,,
2018-02-10 2:39:42,Good Job!,,,,,,,,
2018-02-10 2:39:43,Nice Work!,,,,,,,,
2018-02-10 2:39:46,Thank you!,,,,,,,,
2018-02-10 2:39:48,Thank you!,,,,,,,,
2018-02-10 2:39:50,OK,,,,,,,,
2018-02-10 2:39:52,I told my doctor that I broke my ahrm in two places... He recommended that I stop going to those two places.,,,,,,,,
2018-02-10 2:39:52,My girlfriend said,You act too much like a detective,I want to split up.' ... I said to her,Good i'd ea,we can cover more ground,that way.',,,
2018-02-10 2:39:53,Is now a good time?,,,,,,,,
2018-02-10 2:39:57,Is now a good time?,,,,,,,,
2018-02-10 2:39:59,How are you feeling now?,,,,,,,,
2018-02-10 2:40:04,How are you feeling today?,,,,,,,,
2018-02-10 3:16:38,Greetings,,,,,,,,
2018-02-10 3:16:42,You can use my buttons to reply.,,,,,,,,
2018-02-10 3:16:44,Great!,,,,,,,,
2018-02-10 3:16:45,Nice Job!,,,,,,,,
2018-02-10 3:16:46,Thank you!,,,,,,,,
2018-02-10 3:16:47,OK,,,,,,,,
2018-02-10 3:16:48,Goodbye,Have a nice day!,,,,,,,
2018-02-10 3:58:30,Hello!,,,,,,,,
2018-02-10 3:58:46,Hi There!,,,,,,,,
2018-02-10 3:58:47,Greetings,,,,,,,,
2018-02-10 3:58:47,Greetings,,,,,,,,
2018-02-10 3:59:39,Greetings,,,,,,,,
2018-02-10 3:59:53,Hi There!,,,,,,,,
2018-02-10 3:59:58,Are you Brian?,,,,,,,,
2018-02-10 4:00:01,Great!,,,,,,,,
2018-02-10 4:00:05,How are you feeling today?,,,,,,,,
2018-02-10 4:00:10,You can use my buttons to reply.,,,,,,,,
2018-02-10 4:00:15,Great!,,,,,,,,
2018-02-10 4:00:32,Hopefully exercise can help you feel better...,,,,,,,,
2018-02-10 4:00:57,Would you like to do some pushups?,,,,,,,,
2018-02-10 4:01:04,Great!,,,,,,,,
2018-02-10 4:01:06,Get in pushup position! Tell me when you're ready.,,,,,,,,
2018-02-10 4:01:19,Let's Go!,,,,,,,,
2018-02-10 4:04:20,Hi There!,,,,,,,,
2018-02-10 4:04:24,Are you Jesse?,,,,,,,,
2018-02-10 4:04:29,Great!,,,,,,,,
2018-02-10 4:04:31,Is now a good time?,,,,,,,,
2018-02-10 4:04:37,OK,,,,,,,,
2018-02-10 4:04:40,How are you feeling today?,,,,,,,,
2018-02-10 4:04:42,You can use my buttons to reply.,,,,,,,,
2018-02-10 4:04:46,Great!,,,,,,,,
2018-02-10 4:04:52,Would you like to do some jumping jacks?,,,,,,,,
2018-02-10 4:04:57,Stand up and make some space! Tell me when you're ready.,,,,,,,,
2018-02-10 4:05:09,Ok,I will count,,,,,,,
2018-02-10 4:05:12,1,,,,,,,,
2018-02-10 4:05:14,2,,,,,,,,
2018-02-10 4:05:16,3,,,,,,,,
2018-02-10 4:05:17,4,,,,,,,,
2018-02-10 4:05:18,5,,,,,,,,
2018-02-10 4:05:19,6,,,,,,,,
2018-02-10 4:05:20,7,,,,,,,,
2018-02-10 4:05:21,8,,,,,,,,
2018-02-10 4:05:23,9,,,,,,,,
2018-02-10 4:05:26,10,,,,,,,,
2018-02-10 4:05:29,11,,,,,,,,
2018-02-10 4:05:33,12,,,,,,,,
2018-02-10 4:05:35,13,,,,,,,,
2018-02-10 4:05:37,14,,,,,,,,
2018-02-10 4:05:40,15,,,,,,,,
2018-02-10 4:05:43,16,,,,,,,,
2018-02-10 4:05:46,17,,,,,,,,
2018-02-10 4:05:48,18,,,,,,,,
2018-02-10 4:05:51,19,,,,,,,,
2018-02-10 4:05:54,20,,,,,,,,
2018-02-10 4:06:02,Good Job!,,,,,,,,
2018-02-10 4:06:06,Help yourself to a healty snack!,,,,,,,,
2018-02-10 4:06:24,How are you feeling now?,,,,,,,,
2018-02-10 4:06:26,You can use my buttons to reply.,,,,,,,,
2018-02-10 4:06:34,Thank you!,,,,,,,,
2018-02-10 4:06:43,Goodbye,Have a nice day!,,,,,,,
2018-02-10 4:06:44,Nice talking with you.,,,,,,,,
2018-02-10 4:06:50,Are you sure?,,,,,,,,
2018-02-10 4:06:57,Are you sure?,,,,,,,,
2018-02-10 4:06:58,Are you sure?,,,,,,,,
2018-02-10 4:06:59,Thank you!,,,,,,,,
2018-02-10 4:07:01,Hi There!,,,,,,,,
2018-02-10 4:07:02,You can use my buttons to reply.,,,,,,,,
2018-02-10 4:07:04,Great!,,,,,,,,
2018-02-10 4:07:05,Great!,,,,,,,,
2018-02-10 4:07:06,Nice Job!,,,,,,,,
2018-02-10 4:07:07,Goodbye,Have a nice day!,,,,,,,
2018-02-10 4:07:10,Would you like to do some pushups?,,,,,,,,
2018-02-10 4:07:13,Would you like to go for a short walk?,,,,,,,,
2018-02-10 4:07:19,Take a quick walk to the end of the building and back.,,,,,,,,
2018-02-10 4:07:26,Just stand and sit ten times. Tell me when you're ready.,,,,,,,,
2018-02-10 4:07:36,Sounds Good!,,,,,,,,
2018-02-10 4:07:37,Sounds Good!,,,,,,,,
2018-02-10 4:07:38,Sounds Good!,,,,,,,,
2018-02-10 4:07:38,OK,,,,,,,,
2018-02-10 4:07:47,Is now a good time?,,,,,,,,
2018-02-10 4:07:52,Take a quick walk to the end of the building and back.,,,,,,,,
2018-02-10 4:07:56,Get in pushup position! Tell me when you're ready.,,,,,,,,
2018-02-10 4:08:00,Stand up and make some space! Tell me when you're ready.,,,,,,,,
2018-02-10 4:08:03,Just stand and sit ten times. Tell me when you're ready.,,,,,,,,
2018-02-10 4:08:11,Would you like to do some jumping jacks?,,,,,,,,
2018-02-10 4:08:15,Would you like to do some pushups?,,,,,,,,
2018-02-10 4:08:15,Would you like to do some squats?,,,,,,,,
2018-02-10 4:08:20,Just stand and sit ten times. Tell me when you're ready.,,,,,,,,
2018-02-10 4:08:27,OK,go,,,,,,,
2018-02-10 4:08:32,1,,,,,,,,
2018-02-10 4:08:32,2,,,,,,,,
2018-02-10 4:08:33,3,,,,,,,,
2018-02-10 4:08:34,4,,,,,,,,
2018-02-10 4:08:35,5,,,,,,,,
2018-02-10 4:08:36,6,,,,,,,,
2018-02-10 4:08:37,7,,,,,,,,
2018-02-10 4:08:38,8,,,,,,,,
2018-02-10 4:08:39,9,,,,,,,,
2018-02-10 4:08:40,10,,,,,,,,
2018-02-10 4:08:43,Nice Work!,,,,,,,,
2018-02-10 4:08:47,Help yourself to a healty snack!,,,,,,,,
2018-02-12 16:26:36,Greetings,,,,,,,,
2018-02-12 16:26:42,Greetings,,,,,,,,
2018-02-12 16:26:43,Greetings,,,,,,,,
2018-02-12 16:26:43,Hi There!,,,,,,,,
2018-02-12 17:07:04,Hi There!,,,,,,,,
2018-02-12 17:07:09,Are you Gilberto?,,,,,,,,
2018-02-12 17:07:17,Great!,,,,,,,,
2018-02-12 17:07:20,Is now a good time?,,,,,,,,
2018-02-12 17:07:25,Sounds Good!,,,,,,,,
2018-02-12 17:07:29,How are you feeling today?,,,,,,,,
2018-02-12 17:07:39,I'm ok,,,,,,,,
2018-02-12 17:07:46,Would you like to go for a short walk?,,,,,,,,
2018-02-12 17:07:52,Take a quick walk to the end of the building and back.,,,,,,,,
2018-02-12 17:08:03,Sounds Good!,,,,,,,,
2018-02-12 17:08:51,ROTATE' Motion Triggered,,,,,,,,
2018-02-12 17:09:50,Nice Job!,,,,,,,,
2018-02-12 17:09:55,Help yourself to a healty snack!,,,,,,,,
2018-02-12 17:10:11,Thank you!,,,,,,,,
2018-02-12 17:10:20,How are you feeling now?,,,,,,,,
2018-02-12 17:10:22,You can use my buttons to reply.,,,,,,,,
2018-02-12 17:10:27,User Pressed Green Button!,,,,,,,,
2018-02-12 17:10:31,Thank you!,,,,,,,,
2018-02-12 17:10:35,Goodbye,Have a nice day!,,,,,,,
2018-02-12 17:15:49,SESSION RECORDING STARTED,,,,,,,,
2018-02-12 17:16:17,Hi There!,,,,,,,,
2018-02-12 17:16:21,Are you Jesse?,,,,,,,,
2018-02-12 17:16:26,Great!,,,,,,,,
2018-02-12 17:16:30,I'm Resolutionbot,,,,,,,,
2018-02-12 17:16:37,And it's great I found you,,,,,,,,
2018-02-12 17:16:46,Is now a good time?,,,,,,,,
2018-02-12 17:16:52,Great!,,,,,,,,
2018-02-12 17:16:56,How are you feeling today?,,,,,,,,
2018-02-12 17:16:58,You can use my buttons to reply.,,,,,,,,
2018-02-12 17:17:07,User Pressed White Button!,,,,,,,,
2018-02-12 17:17:10,Sounds Good!,,,,,,,,
2018-02-12 17:17:15,Would you like to do some jumping jacks?,,,,,,,,
2018-02-12 17:17:21,Great!,,,,,,,,
2018-02-12 17:17:27,uh,,,,,,,,
2018-02-12 17:17:34,Not really,,,,,,,,
2018-02-12 17:17:41,Stand up and make some space! Tell me when you're ready.,,,,,,,,
2018-02-12 17:17:52,Ill count,,,,,,,,
2018-02-12 17:17:54,1,,,,,,,,
2018-02-12 17:17:57,2,,,,,,,,
2018-02-12 17:17:58,3,,,,,,,,
2018-02-12 17:18:00,4,,,,,,,,
2018-02-12 17:18:02,5,,,,,,,,
